iata,city,country,latitude,longitude
8346,Saint-Louis,Senegal,16.0189,-16.4953
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
3356,Brighton,United Kingdom,50.8345,-0.186
6453,,United Kingdom,51.4964,-0.1224
6453,,,47.0,8.0
6453,,,47.0,8.0
8346,,Senegal,14.0,-14.0
8346,,Senegal,14.0,-14.0
8346,,Senegal,14.0,-14.0
8346,,Senegal,14.0,-14.0
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
3356,Brighton,United Kingdom,50.8345,-0.186
3356,,United States,37.751,-97.822
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,Dulwich,United Kingdom,51.456,-0.0611
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
16509,Dublin,Ireland,53.3338,-6.2488
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
3356,Brighton,United Kingdom,50.8345,-0.186
3356,,United States,37.751,-97.822
