iata,name,city,country,latitude,longitude,s
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953,Senegal
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
36914,Kenya Education Network,Nairobi,Kenya,-1.2841,36.8155,Kenya
37684,ANGANI-AS,,Kenya,1.0,38.0,Kenya
37684,ANGANI-AS,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
36914,Kenya Education Network,,Kenya,1.0,38.0,Kenya
37286,NG-ICT-FORUM,,Nigeria,10.0,8.0,Nigeria
37286,NG-ICT-FORUM,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
37170,UNILAG,Lagos,Nigeria,6.4474,3.3903,Nigeria
37282,MAINONE,Lagos,Nigeria,6.4474,3.3903,Nigeria
37282,MAINONE,,Nigeria,10.0,8.0,Nigeria
